Date,Open,High,Low,Close
05/08/2024,"0.6597","0.6602","0.6557","0.6579"
05/07/2024,"0.6622","0.6644","0.6586","0.6598"
05/06/2024,"0.6602","0.6639","0.6602","0.6624"
05/03/2024,"0.6565","0.6647","0.6561","0.6610"
05/02/2024,"0.6523","0.6575","0.6515","0.6564"
05/01/2024,"0.6472","0.6540","0.6465","0.6522"
04/30/2024,"0.6568","0.6569","0.6471","0.6473"
04/29/2024,"0.6535","0.6588","0.6523","0.6566"
04/26/2024,"0.6518","0.6555","0.6516","0.6532"
04/25/2024,"0.6498","0.6536","0.6484","0.6517"
04/24/2024,"0.6486","0.6531","0.6482","0.6497"
04/23/2024,"0.6451","0.6491","0.6440","0.6487"
04/22/2024,"0.6416","0.6455","0.6409","0.6450"
04/19/2024,"0.6423","0.6434","0.6362","0.6419"
04/18/2024,"0.6437","0.6457","0.6416","0.6421"
04/17/2024,"0.6402","0.6447","0.6399","0.6433"
04/16/2024,"0.6440","0.6446","0.6389","0.6401"
04/15/2024,"0.6488","0.6494","0.6437","0.6443"
04/12/2024,"0.6538","0.6547","0.6455","0.6477"
04/11/2024,"0.6514","0.6554","0.6501","0.6537"
04/10/2024,"0.6630","0.6632","0.6498","0.6513"
04/09/2024,"0.6603","0.6645","0.6598","0.6628"
04/08/2024,"0.6581","0.6611","0.6559","0.6606"
04/05/2024,"0.6590","0.6595","0.6549","0.6580"
04/04/2024,"0.6563","0.6620","0.6561","0.6589"
04/03/2024,"0.6517","0.6570","0.6502","0.6564"
04/02/2024,"0.6493","0.6524","0.6482","0.6518"
04/01/2024,"0.6519","0.6540","0.6480","0.6491"
03/29/2024,"0.6517","0.6533","0.6505","0.6514"
03/28/2024,"0.6535","0.6541","0.6485","0.6516"
03/27/2024,"0.6534","0.6540","0.6511","0.6536"
03/26/2024,"0.6540","0.6560","0.6530","0.6533"
03/25/2024,"0.6516","0.6548","0.6509","0.6539"
03/22/2024,"0.6570","0.6578","0.6510","0.6521"
03/21/2024,"0.6586","0.6635","0.6561","0.6571"
03/20/2024,"0.6532","0.6588","0.6511","0.6587"
03/19/2024,"0.6559","0.6565","0.6503","0.6531"
03/18/2024,"0.6569","0.6575","0.6550","0.6561"
03/15/2024,"0.6580","0.6585","0.6551","0.6557"
03/14/2024,"0.6619","0.6632","0.6569","0.6579"
03/13/2024,"0.6606","0.6636","0.6600","0.6621"
03/12/2024,"0.6613","0.6640","0.6584","0.6607"
03/11/2024,"0.6644","0.6644","0.6596","0.6614"
03/08/2024,"0.6619","0.6667","0.6613","0.6626"
03/07/2024,"0.6565","0.6625","0.6560","0.6620"
03/06/2024,"0.6502","0.6582","0.6492","0.6564"
03/05/2024,"0.6511","0.6522","0.6478","0.6503"
03/04/2024,"0.6535","0.6537","0.6507","0.6510"
03/01/2024,"0.6498","0.6535","0.6489","0.6527"
02/29/2024,"0.6495","0.6532","0.6487","0.6499"
02/28/2024,"0.6544","0.6551","0.6489","0.6497"
02/27/2024,"0.6542","0.6559","0.6525","0.6545"
02/26/2024,"0.6555","0.6569","0.6530","0.6541"
02/23/2024,"0.6557","0.6581","0.6550","0.6564"
02/22/2024,"0.6553","0.6596","0.6540","0.6556"
02/21/2024,"0.6550","0.6574","0.6533","0.6551"
02/20/2024,"0.6541","0.6580","0.6521","0.6549"
02/19/2024,"0.6536","0.6552","0.6526","0.6540"
02/16/2024,"0.6525","0.6545","0.6496","0.6532"
02/15/2024,"0.6490","0.6530","0.6477","0.6524"
02/14/2024,"0.6455","0.6496","0.6446","0.6491"
02/13/2024,"0.6525","0.6534","0.6442","0.6453"
02/12/2024,"0.6525","0.6544","0.6512","0.6530"
02/09/2024,"0.6493","0.6536","0.6486","0.6524"
02/08/2024,"0.6521","0.6533","0.6481","0.6492"
02/07/2024,"0.6525","0.6541","0.6515","0.6519"
02/06/2024,"0.6484","0.6526","0.6478","0.6522"
