Date,Open,High,Low,Close
05/08/2024,"112.68","113.43","112.53","113.35"
05/07/2024,"112.63","113.08","112.49","112.71"
05/06/2024,"111.96","112.79","111.65","112.62"
05/03/2024,"112.34","112.49","111.53","111.82"
05/02/2024,"112.47","113.81","111.91","112.35"
05/01/2024,"114.54","114.74","111.41","112.46"
04/30/2024,"114.43","114.87","114.22","114.53"
04/29/2024,"115.74","117.30","113.15","114.43"
04/26/2024,"113.95","115.90","113.60","115.84"
04/25/2024,"113.36","114.01","113.21","113.96"
04/24/2024,"113.33","113.40","112.85","113.37"
04/23/2024,"113.01","113.34","112.85","113.33"
04/22/2024,"112.22","113.13","112.01","113.02"
04/19/2024,"112.33","112.63","111.27","112.48"
04/18/2024,"112.09","112.46","111.88","112.33"
04/17/2024,"111.92","112.23","111.67","112.08"
04/16/2024,"111.89","112.27","111.40","111.88"
04/15/2024,"111.26","112.42","110.98","111.88"
04/12/2024,"111.96","111.99","110.86","111.27"
04/11/2024,"111.95","112.10","111.61","111.98"
04/10/2024,"111.80","112.02","111.48","111.95"
04/09/2024,"111.76","111.99","111.47","111.83"
04/08/2024,"111.54","111.91","111.40","111.87"
04/05/2024,"111.74","111.77","111.10","111.53"
04/04/2024,"112.15","112.49","111.48","111.75"
04/03/2024,"111.71","112.32","111.62","112.14"
04/02/2024,"111.73","112.03","111.58","111.70"
04/01/2024,"112.03","112.03","111.58","111.73"
03/29/2024,"111.80","111.91","111.59","111.77"
03/28/2024,"111.53","111.87","111.22","111.79"
03/27/2024,"111.56","111.75","111.07","111.53"
03/26/2024,"111.44","111.74","111.30","111.56"
03/25/2024,"111.13","111.60","111.02","111.45"
03/22/2024,"112.07","112.19","111.15","111.34"
03/21/2024,"112.09","112.30","111.59","112.05"
03/20/2024,"111.19","112.26","111.14","112.10"
03/19/2024,"110.19","111.33","110.03","111.20"
03/18/2024,"110.16","110.38","109.92","110.22"
03/15/2024,"109.58","110.30","109.35","110.07"
03/14/2024,"109.69","109.83","109.42","109.58"
03/13/2024,"109.45","109.85","109.12","109.68"
03/12/2024,"108.99","109.72","108.79","109.43"
03/11/2024,"108.72","109.17","108.67","108.98"
03/08/2024,"109.99","110.10","108.93","109.07"
03/07/2024,"110.57","110.57","109.39","109.98"
03/06/2024,"110.40","110.63","109.93","110.55"
03/05/2024,"110.91","110.92","110.17","110.39"
03/04/2024,"110.54","111.00","110.54","110.91"
03/01/2024,"110.45","110.96","110.31","110.68"
02/29/2024,"110.96","110.99","110.12","110.45"
02/28/2024,"111.24","111.29","110.76","110.97"
02/27/2024,"111.59","111.64","111.16","111.24"
02/26/2024,"111.58","111.86","111.19","111.58"
02/23/2024,"111.64","111.81","111.15","111.36"
02/22/2024,"111.27","111.74","111.26","111.64"
