time,open,high,low,close,volume
2024-06-07T12:40:00.000000000Z,1.08365,1.08387,1.08356,1.08376,287
2024-06-07T12:41:00.000000000Z,1.08377,1.08393,1.08359,1.08368,303
2024-06-07T12:42:00.000000000Z,1.08372,1.08372,1.08337,1.08339,324
2024-06-07T12:43:00.000000000Z,1.08341,1.08350,1.08308,1.08321,250
2024-06-07T12:44:00.000000000Z,1.08322,1.08334,1.08305,1.08328,257
2024-06-07T12:45:00.000000000Z,1.08325,1.08325,1.08262,1.08272,231
2024-06-07T12:46:00.000000000Z,1.08272,1.08278,1.08242,1.08271,183
2024-06-07T12:47:00.000000000Z,1.08270,1.08319,1.08262,1.08285,242
2024-06-07T12:48:00.000000000Z,1.08286,1.08298,1.08262,1.08298,161
2024-06-07T12:49:00.000000000Z,1.08300,1.08328,1.08277,1.08322,228
2024-06-07T12:50:00.000000000Z,1.08321,1.08400,1.08319,1.08397,243
2024-06-07T12:51:00.000000000Z,1.08394,1.08394,1.08357,1.08357,236
2024-06-07T12:52:00.000000000Z,1.08360,1.08389,1.08358,1.08375,240
2024-06-07T12:53:00.000000000Z,1.08376,1.08396,1.08353,1.08394,212
2024-06-07T12:54:00.000000000Z,1.08390,1.08396,1.08334,1.08335,229
2024-06-07T12:55:00.000000000Z,1.08336,1.08348,1.08311,1.08348,224
2024-06-07T12:56:00.000000000Z,1.08348,1.08353,1.08332,1.08342,160
2024-06-07T12:57:00.000000000Z,1.08346,1.08370,1.08343,1.08358,172
2024-06-07T12:58:00.000000000Z,1.08357,1.08359,1.08332,1.08338,184
2024-06-07T12:59:00.000000000Z,1.08336,1.08353,1.08332,1.08332,161
2024-06-07T13:00:00.000000000Z,1.08328,1.08332,1.08301,1.08314,242
2024-06-07T13:01:00.000000000Z,1.08309,1.08311,1.08251,1.08255,279
2024-06-07T13:02:00.000000000Z,1.08257,1.08257,1.08212,1.08235,222
2024-06-07T13:03:00.000000000Z,1.08231,1.08238,1.08220,1.08228,178
2024-06-07T13:04:00.000000000Z,1.08228,1.08258,1.08226,1.08247,187
2024-06-07T13:05:00.000000000Z,1.08248,1.08274,1.08244,1.08251,191
2024-06-07T13:06:00.000000000Z,1.08252,1.08260,1.08228,1.08247,182
2024-06-07T13:07:00.000000000Z,1.08246,1.08266,1.08237,1.08266,178
2024-06-07T13:08:00.000000000Z,1.08265,1.08300,1.08264,1.08288,158
2024-06-07T13:09:00.000000000Z,1.08285,1.08312,1.08269,1.08309,171
2024-06-07T13:10:00.000000000Z,1.08308,1.08314,1.08298,1.08308,103
2024-06-07T13:11:00.000000000Z,1.08304,1.08308,1.08263,1.08271,132
2024-06-07T13:12:00.000000000Z,1.08270,1.08318,1.08265,1.08318,127
2024-06-07T13:13:00.000000000Z,1.08316,1.08319,1.08292,1.08298,135
2024-06-07T13:14:00.000000000Z,1.08295,1.08298,1.08260,1.08266,149
2024-06-07T13:15:00.000000000Z,1.08268,1.08292,1.08258,1.08292,165
2024-06-07T13:16:00.000000000Z,1.08291,1.08300,1.08268,1.08298,184
2024-06-07T13:17:00.000000000Z,1.08296,1.08320,1.08292,1.08308,160
2024-06-07T13:18:00.000000000Z,1.08311,1.08357,1.08308,1.08356,166
2024-06-07T13:19:00.000000000Z,1.08356,1.08358,1.08342,1.08356,117
2024-06-07T13:20:00.000000000Z,1.08359,1.08359,1.08309,1.08319,121
2024-06-07T13:21:00.000000000Z,1.08320,1.08332,1.08314,1.08332,128
2024-06-07T13:22:00.000000000Z,1.08331,1.08331,1.08300,1.08303,119
2024-06-07T13:23:00.000000000Z,1.08304,1.08304,1.08287,1.08298,87
2024-06-07T13:24:00.000000000Z,1.08296,1.08341,1.08294,1.08339,118
2024-06-07T13:25:00.000000000Z,1.08343,1.08349,1.08336,1.08348,127
2024-06-07T13:26:00.000000000Z,1.08348,1.08350,1.08338,1.08341,113
2024-06-07T13:27:00.000000000Z,1.08340,1.08346,1.08309,1.08312,120
