time,open,high,low,close,volume
2024-06-03T17:00:00.000000000Z,1.08852,1.08888,1.08814,1.08880,2928
2024-06-03T18:00:00.000000000Z,1.08878,1.08976,1.08868,1.08973,2358
2024-06-03T19:00:00.000000000Z,1.08972,1.09001,1.08960,1.09001,1677
2024-06-03T20:00:00.000000000Z,1.09000,1.09048,1.08997,1.09043,812
2024-06-03T21:00:00.000000000Z,1.09034,1.09047,1.09017,1.09038,495
2024-06-03T22:00:00.000000000Z,1.09038,1.09098,1.09038,1.09072,635
2024-06-03T23:00:00.000000000Z,1.09072,1.09090,1.09064,1.09072,932
2024-06-04T00:00:00.000000000Z,1.09075,1.09160,1.09074,1.09128,1875
2024-06-04T01:00:00.000000000Z,1.09128,1.09138,1.09071,1.09078,1967
2024-06-04T02:00:00.000000000Z,1.09076,1.09088,1.09051,1.09078,1481
2024-06-04T03:00:00.000000000Z,1.09077,1.09098,1.09070,1.09075,980
2024-06-04T04:00:00.000000000Z,1.09074,1.09100,1.09068,1.09094,1062
2024-06-04T05:00:00.000000000Z,1.09092,1.09109,1.09026,1.09031,1452
2024-06-04T06:00:00.000000000Z,1.09034,1.09050,1.08964,1.08970,3313
2024-06-04T07:00:00.000000000Z,1.08970,1.08987,1.08847,1.08902,4151
2024-06-04T08:00:00.000000000Z,1.08902,1.08908,1.08740,1.08810,4451
2024-06-04T09:00:00.000000000Z,1.08810,1.08820,1.08694,1.08719,4269
2024-06-04T10:00:00.000000000Z,1.08718,1.08718,1.08631,1.08664,3597
2024-06-04T11:00:00.000000000Z,1.08665,1.08707,1.08590,1.08614,3328
2024-06-04T12:00:00.000000000Z,1.08614,1.08702,1.08614,1.08648,4270
2024-06-04T13:00:00.000000000Z,1.08648,1.08718,1.08620,1.08663,3657
2024-06-04T14:00:00.000000000Z,1.08676,1.08820,1.08633,1.08803,8027
2024-06-04T15:00:00.000000000Z,1.08802,1.08837,1.08751,1.08776,4280
2024-06-04T16:00:00.000000000Z,1.08778,1.08836,1.08775,1.08804,3465
2024-06-04T17:00:00.000000000Z,1.08802,1.08878,1.08782,1.08834,2831
2024-06-04T18:00:00.000000000Z,1.08831,1.08867,1.08802,1.08823,3111
2024-06-04T19:00:00.000000000Z,1.08822,1.08827,1.08786,1.08810,2297
2024-06-04T20:00:00.000000000Z,1.08810,1.08812,1.08784,1.08792,658
2024-06-04T21:00:00.000000000Z,1.08815,1.08822,1.08784,1.08797,516
2024-06-04T22:00:00.000000000Z,1.08796,1.08803,1.08785,1.08798,401
2024-06-04T23:00:00.000000000Z,1.08798,1.08821,1.08796,1.08818,601
2024-06-05T00:00:00.000000000Z,1.08816,1.08863,1.08785,1.08843,1982
2024-06-05T01:00:00.000000000Z,1.08842,1.08862,1.08806,1.08842,1917
2024-06-05T02:00:00.000000000Z,1.08840,1.08857,1.08828,1.08833,1217
2024-06-05T03:00:00.000000000Z,1.08836,1.08837,1.08766,1.08786,1506
