Date,Open,High,Low,Close
05/09/2023,"1.1008","1.1009","1.0942","1.0962"
05/08/2023,"1.1146","1.1146","1.1000","1.1006"
05/05/2023,"1.1015","1.1049","1.0968","1.1018"
05/04/2023,"1.1063","1.1093","1.0987","1.1012"
05/03/2023,"1.1002","1.1093","1.0998","1.1065"
05/02/2023,"1.0975","1.1010","1.0943","1.1000"
05/01/2023,"1.1131","1.1131","1.0965","1.0976"
04/28/2023,"1.1029","1.1047","1.0965","1.1019"
04/27/2023,"1.1043","1.1066","1.0993","1.1031"
04/26/2023,"1.0973","1.1096","1.0969","1.1042"
04/25/2023,"1.1048","1.1069","1.0964","1.0977"
04/24/2023,"1.1100","1.1100","1.0966","1.1049"
04/21/2023,"1.0972","1.0995","1.0939","1.0992"
04/20/2023,"1.0955","1.0992","1.0934","1.0971"
04/19/2023,"1.0974","1.0986","1.0918","1.0956"
04/18/2023,"1.0928","1.0986","1.0923","1.0975"
04/17/2023,"1.1103","1.1103","1.0910","1.0930"
04/14/2023,"1.1049","1.1077","1.0973","1.0994"
04/13/2023,"1.0992","1.1070","1.0979","1.1047"
04/12/2023,"1.0913","1.1003","1.0911","1.0993"
04/11/2023,"1.0864","1.0931","1.0858","1.0914"
04/10/2023,"1.0996","1.0996","1.0832","1.0861"
04/07/2023,"1.0924","1.0928","1.0879","1.0908"
04/06/2023,"1.0905","1.0940","1.0885","1.0922"
04/05/2023,"1.0955","1.0971","1.0892","1.0907"
04/04/2023,"1.0902","1.0976","1.0884","1.0957"
04/03/2023,"1.0873","1.0917","1.0789","1.0905"
03/31/2023,"1.0908","1.0928","1.0837","1.0843"
03/30/2023,"1.0846","1.0927","1.0825","1.0905"
03/29/2023,"1.0845","1.0874","1.0820","1.0844"
03/28/2023,"1.0798","1.0851","1.0795","1.0847"
03/27/2023,"1.0778","1.0804","1.0745","1.0799"
03/24/2023,"1.0834","1.0842","1.0715","1.0762"
03/23/2023,"1.0856","1.0931","1.0827","1.0833"
03/22/2023,"1.0769","1.0914","1.0759","1.0857"
03/21/2023,"1.0724","1.0791","1.0704","1.0771"
03/20/2023,"1.0690","1.0733","1.0632","1.0723"
03/17/2023,"1.0611","1.0687","1.0609","1.0669"
03/16/2023,"1.0577","1.0638","1.0552","1.0612"
03/15/2023,"1.0734","1.0762","1.0519","1.0578"
03/14/2023,"1.0733","1.0751","1.0679","1.0733"
03/13/2023,"1.0642","1.0752","1.0642","1.0734"
03/10/2023,"1.0582","1.0703","1.0575","1.0642"
03/09/2023,"1.0546","1.0593","1.0539","1.0585"
03/08/2023,"1.0551","1.0577","1.0525","1.0544"
03/07/2023,"1.0680","1.0697","1.0546","1.0549"
03/06/2023,"1.0620","1.0697","1.0615","1.0686"
03/03/2023,"1.0598","1.0640","1.0590","1.0635"
03/02/2023,"1.0668","1.0676","1.0577","1.0597"
03/01/2023,"1.0576","1.0694","1.0566","1.0671"
02/28/2023,"1.0613","1.0646","1.0574","1.0578"
02/27/2023,"1.0586","1.0621","1.0533","1.0611"
02/24/2023,"1.0597","1.0616","1.0536","1.0547"
02/23/2023,"1.0605","1.0630","1.0578","1.0596"
02/22/2023,"1.0649","1.0666","1.0600","1.0607"
02/21/2023,"1.0686","1.0699","1.0638","1.0647"
02/20/2023,"1.0722","1.0722","1.0671","1.0687"
02/17/2023,"1.0673","1.0700","1.0614","1.0696"
02/16/2023,"1.0690","1.0724","1.0655","1.0672"
02/15/2023,"1.0739","1.0746","1.0662","1.0688"
02/14/2023,"1.0725","1.0807","1.0708","1.0737"
02/13/2023,"1.0703","1.0732","1.0656","1.0727"
02/10/2023,"1.0739","1.0755","1.0667","1.0679"
02/09/2023,"1.0715","1.0793","1.0710","1.0743"
02/08/2023,"1.0726","1.0763","1.0710","1.0713"
02/07/2023,"1.0727","1.0768","1.0670","1.0730"
