Date,Open,High,Low,Close
05/08/2024,"1.1363","1.1376","1.1329","1.1348"
05/07/2024,"1.1386","1.1399","1.1359","1.1364"
05/06/2024,"1.1356","1.1397","1.1351","1.1384"
05/03/2024,"1.1414","1.1418","1.1343","1.1354"
05/02/2024,"1.1469","1.1496","1.1383","1.1413"
05/01/2024,"1.1485","1.1513","1.1461","1.1470"
04/30/2024,"1.1437","1.1496","1.1423","1.1487"
04/29/2024,"1.1425","1.1449","1.1398","1.1438"
04/26/2024,"1.1417","1.1436","1.1385","1.1426"
04/25/2024,"1.1406","1.1438","1.1391","1.1415"
04/24/2024,"1.1354","1.1409","1.1347","1.1407"
04/23/2024,"1.1265","1.1356","1.1250","1.1352"
04/22/2024,"1.1262","1.1297","1.1213","1.1264"
04/19/2024,"1.1346","1.1355","1.1175","1.1264"
04/18/2024,"1.1336","1.1364","1.1325","1.1347"
04/17/2024,"1.1345","1.1374","1.1317","1.1343"
04/16/2024,"1.1346","1.1384","1.1335","1.1346"
04/15/2024,"1.1388","1.1415","1.1336","1.1345"
04/12/2024,"1.1423","1.1432","1.1321","1.1384"
04/11/2024,"1.1447","1.1486","1.1401","1.1424"
04/10/2024,"1.1455","1.1482","1.1431","1.1448"
04/09/2024,"1.1462","1.1467","1.1441","1.1456"
04/08/2024,"1.1398","1.1464","1.1370","1.1458"
04/05/2024,"1.1396","1.1429","1.1356","1.1397"
04/04/2024,"1.1424","1.1487","1.1388","1.1395"
04/03/2024,"1.1421","1.1440","1.1411","1.1423"
04/02/2024,"1.1357","1.1426","1.1346","1.1420"
04/01/2024,"1.1390","1.1416","1.1345","1.1351"
03/29/2024,"1.1383","1.1409","1.1358","1.1384"
03/28/2024,"1.1425","1.1441","1.1373","1.1382"
03/27/2024,"1.1416","1.1453","1.1398","1.1424"
03/26/2024,"1.1365","1.1432","1.1360","1.1417"
03/25/2024,"1.1314","1.1368","1.1298","1.1366"
03/22/2024,"1.1364","1.1382","1.1295","1.1307"
03/21/2024,"1.1340","1.1459","1.1310","1.1360"
03/20/2024,"1.1296","1.1348","1.1292","1.1338"
03/19/2024,"1.1302","1.1309","1.1248","1.1297"
03/18/2024,"1.1242","1.1310","1.1239","1.1300"
03/15/2024,"1.1271","1.1278","1.1244","1.1251"
03/14/2024,"1.1247","1.1279","1.1241","1.1270"
03/13/2024,"1.1219","1.1250","1.1216","1.1248"
03/12/2024,"1.1244","1.1260","1.1197","1.1223"
03/11/2024,"1.1286","1.1289","1.1239","1.1243"
03/08/2024,"1.1243","1.1291","1.1229","1.1286"
03/07/2024,"1.1239","1.1252","1.1207","1.1241"
03/06/2024,"1.1225","1.1269","1.1217","1.1230"
03/05/2024,"1.1230","1.1248","1.1218","1.1224"
03/04/2024,"1.1193","1.1250","1.1161","1.1232"
03/01/2024,"1.1164","1.1220","1.1160","1.1177"
02/29/2024,"1.1128","1.1170","1.1117","1.1166"
02/28/2024,"1.1153","1.1161","1.1121","1.1127"
02/27/2024,"1.1165","1.1174","1.1142","1.1146"
02/26/2024,"1.1165","1.1176","1.1145","1.1163"
02/23/2024,"1.1143","1.1178","1.1139","1.1164"
02/22/2024,"1.1117","1.1160","1.1083","1.1145"
02/21/2024,"1.1131","1.1141","1.1097","1.1118"
02/20/2024,"1.1105","1.1149","1.1095","1.1132"
02/19/2024,"1.1099","1.1130","1.1088","1.1113"
02/16/2024,"1.1081","1.1110","1.1073","1.1099"
02/15/2024,"1.1131","1.1132","1.1061","1.1089"
02/14/2024,"1.1167","1.1176","1.1114","1.1130"
02/13/2024,"1.1060","1.1186","1.1040","1.1171"
02/12/2024,"1.1070","1.1070","1.1029","1.1059"
02/09/2024,"1.1045","1.1072","1.1018","1.1050"
02/08/2024,"1.1043","1.1047","1.1005","1.1023"
02/07/2024,"1.0957","1.1049","1.0953","1.1044"
02/06/2024,"1.0913","1.0986","1.0898","1.0958"
02/05/2024,"1.0955","1.0976","1.0905","1.0914"
02/02/2024,"1.0931","1.0997","1.0912","1.0952"
02/01/2024,"1.0930","1.0951","1.0893","1.0932"
01/31/2024,"1.0938","1.0956","1.0900","1.0928"
01/30/2024,"1.0975","1.0984","1.0913","1.0943"
01/29/2024,"1.0975","1.0998","1.0933","1.0945"
01/26/2024,"1.1018","1.1037","1.0942","1.0974"
01/25/2024,"1.0975","1.1026","1.0974","1.1020"
01/24/2024,"1.1043","1.1053","1.0975","1.0980"
01/23/2024,"1.1046","1.1056","1.1023","1.1042"
01/22/2024,"1.1031","1.1062","1.0988","1.1044"
01/19/2024,"1.1030","1.1040","1.1005","1.1029"
01/18/2024,"1.0960","1.1039","1.0952","1.1031"
01/17/2024,"1.0888","1.0992","1.0870","1.0959"
01/16/2024,"1.0894","1.0906","1.0868","1.0889"
01/15/2024,"1.0868","1.0899","1.0855","1.0891"
01/12/2024,"1.0866","1.0893","1.0849","1.0873"
01/11/2024,"1.0829","1.0900","1.0829","1.0874"
01/10/2024,"1.0834","1.0858","1.0814","1.0841"
01/09/2024,"1.0809","1.0843","1.0767","1.0835"
01/08/2024,"1.0813","1.0827","1.0785","1.0811"
01/05/2024,"1.0781","1.0820","1.0772","1.0814"
01/04/2024,"1.0755","1.0816","1.0748","1.0785"
01/03/2024,"1.0727","1.0801","1.0708","1.0754"
01/02/2024,"1.0695","1.0789","1.0648","1.0731"
01/01/2024,"1.0713","1.0723","1.0593","1.0696"
12/29/2023,"1.0759","1.0766","1.0646","1.0714"
12/28/2023,"1.0787","1.0796","1.0637","1.0757"
12/27/2023,"1.0862","1.0884","1.0765","1.0793"
12/26/2023,"1.0869","1.0890","1.0834","1.0864"
12/25/2023,"1.0869","1.0910","1.0844","1.0856"
12/22/2023,"1.0866","1.0897","1.0845","1.0868"
12/21/2023,"1.0903","1.0919","1.0836","1.0867"
12/20/2023,"1.0957","1.0963","1.0880","1.0904"
12/19/2023,"1.0967","1.1016","1.0947","1.0962"
12/18/2023,"1.1027","1.1054","1.0964","1.0966"
12/15/2023,"1.1076","1.1103","1.1001","1.1034"
12/14/2023,"1.0999","1.1078","1.0963","1.1077"
12/13/2023,"1.0978","1.1015","1.0958","1.0997"
12/12/2023,"1.1042","1.1042","1.0978","1.0998"
12/11/2023,"1.1043","1.1089","1.1024","1.1030"
12/08/2023,"1.1027","1.1058","1.0985","1.1044"
12/07/2023,"1.0986","1.1038","1.0980","1.1021"
12/06/2023,"1.1026","1.1035","1.0984","1.0987"
12/05/2023,"1.1016","1.1049","1.1009","1.1022"
12/04/2023,"1.1049","1.1091","1.1007","1.1027"
12/01/2023,"1.1047","1.1082","1.1016","1.1048"
11/30/2023,"1.1109","1.1175","1.0997","1.1049"
11/29/2023,"1.1137","1.1166","1.1089","1.1094"
11/28/2023,"1.1117","1.1155","1.1106","1.1147"
11/27/2023,"1.1124","1.1156","1.1098","1.1118"
11/24/2023,"1.1081","1.1143","1.1063","1.1128"
11/23/2023,"1.1042","1.1101","1.1031","1.1083"
11/22/2023,"1.1082","1.1090","1.1029","1.1045"
11/21/2023,"1.1065","1.1089","1.1056","1.1081"
11/20/2023,"1.1034","1.1070","1.1013","1.1067"
11/17/2023,"1.1025","1.1045","1.0990","1.1034"
11/16/2023,"1.1027","1.1043","1.0995","1.1032"
11/15/2023,"1.1122","1.1122","1.1020","1.1026"
11/14/2023,"1.1065","1.1127","1.1040","1.1114"
11/13/2023,"1.1036","1.1086","1.1018","1.1070"
11/10/2023,"1.1036","1.1061","1.1001","1.1032"
11/09/2023,"1.1046","1.1080","1.1007","1.1038"
11/08/2023,"1.1069","1.1082","1.1025","1.1048"
11/07/2023,"1.1100","1.1114","1.1056","1.1073"
11/06/2023,"1.1106","1.1156","1.1091","1.1102"
11/03/2023,"1.1057","1.1139","1.1037","1.1128"
11/02/2023,"1.1031","1.1063","1.0999","1.1055"
11/01/2023,"1.1065","1.1070","1.0998","1.1032"
10/31/2023,"1.0976","1.1066","1.0951","1.1064"
10/30/2023,"1.0939","1.0980","1.0918","1.0977"
10/27/2023,"1.0901","1.0970","1.0888","1.0940"
10/26/2023,"1.0861","1.0914","1.0843","1.0902"
10/25/2023,"1.0861","1.0885","1.0846","1.0863"
10/24/2023,"1.0931","1.0941","1.0859","1.0860"
10/23/2023,"1.0845","1.0923","1.0832","1.0914"
10/20/2023,"1.0826","1.0861","1.0783","1.0853"
10/19/2023,"1.0914","1.0919","1.0816","1.0824"
10/18/2023,"1.0969","1.1018","1.0895","1.0916"
10/17/2023,"1.0994","1.1006","1.0950","1.0968"
10/16/2023,"1.0942","1.1009","1.0935","1.0997"
10/13/2023,"1.1070","1.1079","1.0915","1.0959"
10/12/2023,"1.1104","1.1110","1.1056","1.1059"
10/11/2023,"1.1110","1.1127","1.1081","1.1106"
10/10/2023,"1.1093","1.1119","1.1064","1.1117"
10/09/2023,"1.1100","1.1116","1.1061","1.1096"
10/06/2023,"1.1123","1.1177","1.1089","1.1135"
10/05/2023,"1.1135","1.1140","1.1097","1.1126"
10/04/2023,"1.1123","1.1153","1.1091","1.1133"
10/03/2023,"1.1106","1.1149","1.1083","1.1122"
10/02/2023,"1.1168","1.1175","1.1093","1.1100"
09/29/2023,"1.1169","1.1193","1.1125","1.1168"
09/28/2023,"1.1176","1.1217","1.1163","1.1165"
09/27/2023,"1.1142","1.1182","1.1110","1.1179"
09/26/2023,"1.1138","1.1145","1.1111","1.1133"
09/25/2023,"1.1096","1.1148","1.1096","1.1139"
09/22/2023,"1.1122","1.1125","1.1084","1.1101"
09/21/2023,"1.1094","1.1169","1.1068","1.1123"
09/20/2023,"1.1118","1.1131","1.1071","1.1093"
09/19/2023,"1.1107","1.1136","1.1086","1.1125"
09/18/2023,"1.1115","1.1125","1.1084","1.1108"
09/15/2023,"1.1110","1.1144","1.1073","1.1115"
09/14/2023,"1.1144","1.1177","1.1099","1.1113"
09/13/2023,"1.1131","1.1164","1.1096","1.1162"
09/12/2023,"1.1143","1.1168","1.1113","1.1134"
09/11/2023,"1.1127","1.1184","1.1121","1.1144"
09/08/2023,"1.1139","1.1149","1.1111","1.1133"
09/07/2023,"1.1148","1.1201","1.1109","1.1135"
09/06/2023,"1.1175","1.1191","1.1143","1.1145"
09/05/2023,"1.1168","1.1188","1.1124","1.1177"
09/04/2023,"1.1151","1.1179","1.1142","1.1169"
09/01/2023,"1.1191","1.1200","1.1142","1.1151"
08/31/2023,"1.1170","1.1208","1.1160","1.1195"
08/30/2023,"1.1106","1.1178","1.1097","1.1175"
08/29/2023,"1.1136","1.1165","1.1087","1.1107"
08/28/2023,"1.1128","1.1146","1.1104","1.1138"
08/25/2023,"1.1146","1.1175","1.1123","1.1125"
08/24/2023,"1.1171","1.1181","1.1133","1.1145"
08/23/2023,"1.1211","1.1223","1.1115","1.1173"
08/22/2023,"1.1208","1.1232","1.1195","1.1210"
08/21/2023,"1.1217","1.1245","1.1185","1.1206"
08/18/2023,"1.1197","1.1245","1.1172","1.1234"
08/17/2023,"1.1203","1.1222","1.1171","1.1199"
08/16/2023,"1.1162","1.1220","1.1150","1.1204"
08/15/2023,"1.1141","1.1181","1.1120","1.1161"
08/14/2023,"1.1124","1.1154","1.1107","1.1142"
08/11/2023,"1.1114","1.1151","1.1098","1.1129"
08/10/2023,"1.1160","1.1165","1.1104","1.1112"
08/09/2023,"1.1163","1.1177","1.1144","1.1159"
08/08/2023,"1.1160","1.1181","1.1125","1.1166"
08/07/2023,"1.1124","1.1178","1.1116","1.1159"
08/04/2023,"1.1111","1.1156","1.1109","1.1128"
08/03/2023,"1.1153","1.1172","1.1057","1.1110"
08/02/2023,"1.1183","1.1236","1.1128","1.1154"
08/01/2023,"1.1190","1.1230","1.1163","1.1181"
07/31/2023,"1.1264","1.1264","1.1149","1.1189"
07/28/2023,"1.1124","1.1195","1.1095","1.1185"
07/27/2023,"1.1138","1.1181","1.1088","1.1123"
07/26/2023,"1.1143","1.1170","1.1110","1.1140"
07/25/2023,"1.1158","1.1177","1.1112","1.1147"
07/24/2023,"1.1133","1.1165","1.1091","1.1165"
07/21/2023,"1.1159","1.1173","1.1085","1.1129"
07/20/2023,"1.1120","1.1165","1.1063","1.1152"
07/19/2023,"1.1203","1.1203","1.1060","1.1109"
07/18/2023,"1.1249","1.1259","1.1177","1.1179"
07/17/2023,"1.1299","1.1300","1.1227","1.1248"
07/14/2023,"1.1296","1.1343","1.1240","1.1281"
07/13/2023,"1.1269","1.1295","1.1228","1.1282"
07/12/2023,"1.1375","1.1390","1.1257","1.1268"
07/11/2023,"1.1387","1.1404","1.1353","1.1374"
07/10/2023,"1.1405","1.1434","1.1359","1.1385"
07/07/2023,"1.1407","1.1444","1.1398","1.1413"
07/06/2023,"1.1419","1.1455","1.1381","1.1405"
07/05/2023,"1.1401","1.1427","1.1394","1.1417"
07/04/2023,"1.1377","1.1414","1.1360","1.1409"
07/03/2023,"1.1369","1.1410","1.1345","1.1374"
06/30/2023,"1.1344","1.1406","1.1326","1.1370"
06/29/2023,"1.1337","1.1365","1.1312","1.1346"
06/28/2023,"1.1393","1.1405","1.1315","1.1336"
06/27/2023,"1.1387","1.1445","1.1367","1.1395"
06/26/2023,"1.1400","1.1415","1.1321","1.1386"
06/23/2023,"1.1409","1.1454","1.1380","1.1404"
06/22/2023,"1.1405","1.1461","1.1359","1.1407"
06/21/2023,"1.1462","1.1506","1.1380","1.1404"
06/20/2023,"1.1459","1.1489","1.1424","1.1461"
06/19/2023,"1.1464","1.1488","1.1446","1.1461"
06/16/2023,"1.1403","1.1475","1.1389","1.1463"
06/15/2023,"1.1408","1.1454","1.1377","1.1401"
06/14/2023,"1.1415","1.1430","1.1379","1.1411"
06/13/2023,"1.1372","1.1431","1.1347","1.1416"
06/12/2023,"1.1351","1.1386","1.1340","1.1374"
06/09/2023,"1.1287","1.1369","1.1280","1.1358"
06/08/2023,"1.1320","1.1343","1.1264","1.1292"
06/07/2023,"1.1277","1.1325","1.1257","1.1319"
06/06/2023,"1.1270","1.1284","1.1237","1.1278"
06/05/2023,"1.1318","1.1327","1.1237","1.1269"
06/02/2023,"1.1345","1.1376","1.1308","1.1317"
06/01/2023,"1.1337","1.1391","1.1296","1.1342"
05/31/2023,"1.1245","1.1335","1.1237","1.1329"
05/30/2023,"1.1169","1.1246","1.1162","1.1244"
05/29/2023,"1.1190","1.1190","1.1145","1.1176"
05/26/2023,"1.1165","1.1190","1.1145","1.1176"
05/25/2023,"1.1185","1.1221","1.1159","1.1160"
05/24/2023,"1.1188","1.1241","1.1171","1.1193"
05/23/2023,"1.1166","1.1202","1.1148","1.1191"
05/22/2023,"1.1199","1.1209","1.1133","1.1168"
05/19/2023,"1.1235","1.1251","1.1189","1.1196"
05/18/2023,"1.1224","1.1247","1.1192","1.1233"
05/17/2023,"1.1196","1.1250","1.1159","1.1222"
05/16/2023,"1.1220","1.1227","1.1164","1.1193"
05/15/2023,"1.1181","1.1221","1.1160","1.1219"
05/12/2023,"1.1188","1.1213","1.1155","1.1184"
05/11/2023,"1.1233","1.1276","1.1184","1.1189"
05/10/2023,"1.1239","1.1260","1.1211","1.1234"
05/09/2023,"1.1223","1.1261","1.1215","1.1236"
05/08/2023,"1.1342","1.1342","1.1209","1.1224"
