Date,Open,High,Low,Close
05/06/2022,"1.9230","1.9277","1.9141","1.9263"
05/05/2022,"1.9306","1.9340","1.9036","1.9236"
05/04/2022,"1.9416","1.9454","1.9249","1.9305"
05/03/2022,"1.9414","1.9542","1.9354","1.9425"
05/02/2022,"1.9446","1.9559","1.9397","1.9411"
04/29/2022,"1.9196","1.9502","1.9159","1.9480"
04/28/2022,"1.9146","1.9317","1.9146","1.9203"
04/27/2022,"1.9158","1.9201","1.9078","1.9175"
04/26/2022,"1.9252","1.9271","1.9121","1.9160"
04/25/2022,"1.9401","1.9437","1.9232","1.9248"
04/22/2022,"1.9324","1.9475","1.9269","1.9340"
04/21/2022,"1.9191","1.9379","1.9176","1.9348"
04/20/2022,"1.9299","1.9331","1.9147","1.9196"
04/19/2022,"1.9377","1.9377","1.9249","1.9305"
04/18/2022,"1.9258","1.9374","1.9227","1.9333"
04/15/2022,"1.9272","1.9325","1.9191","1.9308"
04/14/2022,"1.9304","1.9325","1.9189","1.9274"
04/13/2022,"1.8975","1.9328","1.8855","1.9300"
04/12/2022,"1.9090","1.9121","1.8919","1.8978"
04/11/2022,"1.9045","1.9102","1.9014","1.9086"
04/08/2022,"1.8962","1.9060","1.8933","1.9036"
04/07/2022,"1.8889","1.8991","1.8834","1.8969"
04/06/2022,"1.8820","1.8935","1.8759","1.8893"
04/05/2022,"1.8872","1.8894","1.8712","1.8822"
04/04/2022,"1.8930","1.8996","1.8821","1.8869"
04/01/2022,"1.8934","1.9000","1.8884","1.8941"
03/31/2022,"1.8823","1.8962","1.8814","1.8945"
03/30/2022,"1.8882","1.8915","1.8805","1.8826"
03/29/2022,"1.8986","1.9108","1.8851","1.8880"
03/28/2022,"1.8964","1.9002","1.8914","1.8984"
03/25/2022,"1.8935","1.8992","1.8889","1.8938"
03/24/2022,"1.8933","1.9001","1.8922","1.8933"
03/23/2022,"1.9048","1.9148","1.8897","1.8936"
03/22/2022,"1.9124","1.9151","1.9015","1.9046"
03/21/2022,"1.9075","1.9165","1.9021","1.9120"
03/18/2022,"1.9111","1.9125","1.9055","1.9082"
03/17/2022,"1.9224","1.9294","1.9079","1.9109"
03/16/2022,"1.9246","1.9346","1.9188","1.9226"
03/15/2022,"1.9274","1.9370","1.9240","1.9266"
03/14/2022,"1.9164","1.9289","1.9139","1.9271"
03/11/2022,"1.9066","1.9176","1.9053","1.9161"
03/10/2022,"1.9269","1.9317","1.9046","1.9065"
03/09/2022,"1.9246","1.9291","1.9195","1.9272"
03/08/2022,"1.9178","1.9280","1.9134","1.9249"
03/07/2022,"1.9307","1.9367","1.9047","1.9204"
03/04/2022,"1.9631","1.9685","1.9249","1.9287"
03/03/2022,"1.9752","1.9793","1.9609","1.9635"
03/02/2022,"1.9729","1.9756","1.9616","1.9755"
