Date,Open,High,Low,Close
05/08/2023,"1.3478","1.3479","1.3316","1.3373"
05/05/2023,"1.3541","1.3545","1.3372","1.3376"
05/04/2023,"1.3618","1.3635","1.3520","1.3539"
05/03/2023,"1.3626","1.3641","1.3583","1.3617"
05/02/2023,"1.3532","1.3640","1.3529","1.3628"
05/01/2023,"1.3656","1.3656","1.3531","1.3545"
04/28/2023,"1.3592","1.3670","1.3536","1.3548"
04/27/2023,"1.3638","1.3647","1.3590","1.3593"
04/26/2023,"1.3630","1.3654","1.3600","1.3637"
04/25/2023,"1.3544","1.3651","1.3525","1.3627"
04/24/2023,"1.3678","1.3678","1.3523","1.3543"
04/21/2023,"1.3443","1.3565","1.3443","1.3536"
04/20/2023,"1.3460","1.3493","1.3450","1.3478"
04/19/2023,"1.3392","1.3469","1.3385","1.3459"
04/18/2023,"1.3396","1.3402","1.3360","1.3390"
04/17/2023,"1.3519","1.3519","1.3343","1.3394"
04/14/2023,"1.3338","1.3399","1.3303","1.3364"
04/13/2023,"1.3447","1.3471","1.3334","1.3341"
04/12/2023,"1.3477","1.3490","1.3429","1.3442"
04/11/2023,"1.3512","1.3520","1.3463","1.3466"
04/10/2023,"1.3520","1.3555","1.3485","1.3510"
04/07/2023,"1.3493","1.3558","1.3482","1.3549"
04/06/2023,"1.3462","1.3507","1.3448","1.3495"
04/05/2023,"1.3446","1.3485","1.3427","1.3459"
04/04/2023,"1.3438","1.3469","1.3410","1.3445"
04/03/2023,"1.3529","1.3538","1.3412","1.3437"
03/31/2023,"1.3530","1.3566","1.3508","1.3519"
03/30/2023,"1.3561","1.3583","1.3516","1.3524"
03/29/2023,"1.3603","1.3619","1.3557","1.3560"
03/28/2023,"1.3661","1.3697","1.3593","1.3599"
03/27/2023,"1.3740","1.3747","1.3650","1.3662"
03/24/2023,"1.3718","1.3808","1.3709","1.3747"
03/23/2023,"1.3734","1.3739","1.3631","1.3717"
03/22/2023,"1.3713","1.3748","1.3659","1.3732"
03/21/2023,"1.3665","1.3739","1.3645","1.3714"
03/20/2023,"1.3717","1.3749","1.3652","1.3667"
03/17/2023,"1.3721","1.3775","1.3679","1.3728"
03/16/2023,"1.3767","1.3791","1.3715","1.3722"
03/15/2023,"1.3686","1.3816","1.3661","1.3769"
03/14/2023,"1.3732","1.3751","1.3653","1.3687"
03/13/2023,"1.3860","1.3860","1.3678","1.3733"
03/10/2023,"1.3826","1.3865","1.3763","1.3830"
03/09/2023,"1.3804","1.3839","1.3754","1.3828"
03/08/2023,"1.3754","1.3817","1.3746","1.3806"
03/07/2023,"1.3615","1.3763","1.3601","1.3755"
03/06/2023,"1.3604","1.3631","1.3583","1.3613"
03/03/2023,"1.3600","1.3645","1.3556","1.3598"
03/02/2023,"1.3597","1.3644","1.3583","1.3597"
03/01/2023,"1.3643","1.3662","1.3585","1.3594"
02/28/2023,"1.3577","1.3650","1.3562","1.3648"
02/27/2023,"1.3638","1.3638","1.3537","1.3576"
02/24/2023,"1.3550","1.3666","1.3528","1.3605"
02/23/2023,"1.3551","1.3583","1.3517","1.3549"
02/22/2023,"1.3540","1.3569","1.3515","1.3553"
02/21/2023,"1.3455","1.3551","1.3443","1.3538"
02/20/2023,"1.3475","1.3498","1.3443","1.3454"
02/17/2023,"1.3459","1.3539","1.3450","1.3459"
02/16/2023,"1.3393","1.3481","1.3358","1.3458"
02/15/2023,"1.3339","1.3443","1.3335","1.3396"
02/14/2023,"1.3334","1.3392","1.3276","1.3338"
02/13/2023,"1.3390","1.3390","1.3325","1.3335"
02/10/2023,"1.3457","1.3475","1.3337","1.3359"
02/09/2023,"1.3448","1.3466","1.3374","1.3458"
02/08/2023,"1.3396","1.3453","1.3361","1.3449"
02/07/2023,"1.3446","1.3471","1.3383","1.3402"
02/06/2023,"1.3412","1.3478","1.3397","1.3448"
02/03/2023,"1.3321","1.3428","1.3314","1.3392"
02/02/2023,"1.3294","1.3350","1.3263","1.3319"
02/01/2023,"1.3305","1.3383","1.3268","1.3293"
01/31/2023,"1.3389","1.3474","1.3299","1.3308"
01/30/2023,"1.3340","1.3392","1.3301","1.3388"
01/27/2023,"1.3328","1.3348","1.3301","1.3312"
01/26/2023,"1.3390","1.3410","1.3305","1.3323"
01/25/2023,"1.3370","1.3430","1.3341","1.3394"
01/24/2023,"1.3371","1.3415","1.3347","1.3371"
01/23/2023,"1.3394","1.3419","1.3342","1.3368"
01/20/2023,"1.3468","1.3500","1.3374","1.3381"
01/19/2023,"1.3492","1.3523","1.3448","1.3469"
01/18/2023,"1.3391","1.3503","1.3352","1.3494"
01/17/2023,"1.3407","1.3438","1.3371","1.3390"
01/16/2023,"1.3403","1.3421","1.3353","1.3409"
01/13/2023,"1.3373","1.3441","1.3322","1.3397"
01/12/2023,"1.3424","1.3463","1.3346","1.3371"
01/11/2023,"1.3429","1.3448","1.3405","1.3428"
01/10/2023,"1.3391","1.3447","1.3376","1.3428"
01/09/2023,"1.3450","1.3453","1.3358","1.3390"
01/06/2023,"1.3573","1.3666","1.3434","1.3447"
01/05/2023,"1.3482","1.3598","1.3472","1.3570"
01/04/2023,"1.3671","1.3682","1.3476","1.3481"
01/03/2023,"1.3576","1.3687","1.3524","1.3672"
01/02/2023,"1.3570","1.3593","1.3486","1.3575"
12/30/2022,"1.3549","1.3585","1.3515","1.3554"
12/29/2022,"1.3608","1.3614","1.3538","1.3548"
12/28/2022,"1.3525","1.3614","1.3465","1.3605"
12/27/2022,"1.3577","1.3625","1.3485","1.3522"
12/26/2022,"1.3645","1.3648","1.3574","1.3582"
12/23/2022,"1.3655","1.3669","1.3563","1.3601"
12/22/2022,"1.3613","1.3688","1.3571","1.3650"
12/21/2022,"1.3610","1.3641","1.3590","1.3614"
12/20/2022,"1.3650","1.3707","1.3581","1.3613"
12/19/2022,"1.3745","1.3745","1.3624","1.3649"
12/16/2022,"1.3652","1.3726","1.3585","1.3726"
12/15/2022,"1.3553","1.3676","1.3541","1.3653"
12/14/2022,"1.3546","1.3613","1.3522","1.3548"
12/13/2022,"1.3636","1.3646","1.3522","1.3545"
12/12/2022,"1.3728","1.3729","1.3619","1.3634"
12/09/2022,"1.3596","1.3691","1.3569","1.3645"
12/08/2022,"1.3654","1.3691","1.3562","1.3595"
12/07/2022,"1.3655","1.3702","1.3592","1.3655"
12/06/2022,"1.3590","1.3678","1.3571","1.3654"
12/05/2022,"1.3496","1.3607","1.3386","1.3589"
12/02/2022,"1.3434","1.3519","1.3421","1.3473"
12/01/2022,"1.3418","1.3472","1.3396","1.3435"
11/30/2022,"1.3580","1.3596","1.3414","1.3415"
11/29/2022,"1.3501","1.3647","1.3409","1.3581"
11/28/2022,"1.3402","1.3507","1.3391","1.3496"
11/25/2022,"1.3339","1.3400","1.3317","1.3379"
11/24/2022,"1.3356","1.3363","1.3317","1.3338"
11/23/2022,"1.3372","1.3441","1.3345","1.3355"
