Date,Open,High,Low,Close
05/08/2024,"0.9084","0.9097","0.9072","0.9080"
05/07/2024,"0.9064","0.9095","0.9054","0.9085"
05/06/2024,"0.9050","0.9067","0.9035","0.9063"
05/03/2024,"0.9106","0.9111","0.9006","0.9050"
05/02/2024,"0.9154","0.9174","0.9098","0.9107"
05/01/2024,"0.9194","0.9225","0.9145","0.9157"
04/30/2024,"0.9105","0.9197","0.9100","0.9195"
04/29/2024,"0.9148","0.9148","0.9041","0.9103"
04/26/2024,"0.9123","0.9161","0.9096","0.9144"
04/25/2024,"0.9151","0.9158","0.9116","0.9121"
04/24/2024,"0.9121","0.9154","0.9113","0.9152"
04/23/2024,"0.9122","0.9133","0.9087","0.9119"
04/22/2024,"0.9105","0.9125","0.9086","0.9120"
04/19/2024,"0.9123","0.9133","0.9013","0.9104"
04/18/2024,"0.9109","0.9127","0.9081","0.9124"
04/17/2024,"0.9128","0.9134","0.9093","0.9107"
04/16/2024,"0.9146","0.9226","0.9097","0.9131"
04/15/2024,"0.9143","0.9153","0.9111","0.9115"
04/12/2024,"0.9101","0.9147","0.9093","0.9142"
04/11/2024,"0.9128","0.9149","0.9074","0.9099"
04/10/2024,"0.9037","0.9148","0.9026","0.9130"
04/09/2024,"0.9055","0.9061","0.9013","0.9035"
04/08/2024,"0.9019","0.9067","0.8999","0.9053"
04/05/2024,"0.9009","0.9071","0.8998","0.9018"
04/04/2024,"0.9031","0.9076","0.9008","0.9014"
04/03/2024,"0.9080","0.9096","0.9027","0.9029"
04/02/2024,"0.9042","0.9092","0.9040","0.9079"
04/01/2024,"0.9021","0.9058","0.9005","0.9044"
03/29/2024,"0.9018","0.9031","0.8984","0.9016"
03/28/2024,"0.9037","0.9066","0.8999","0.9016"
03/27/2024,"0.9040","0.9073","0.9033","0.9038"
03/26/2024,"0.8995","0.9046","0.8988","0.9042"
03/25/2024,"0.8980","0.8997","0.8969","0.8993"
03/22/2024,"0.8976","0.9022","0.8964","0.8975"
03/21/2024,"0.8870","0.8995","0.8838","0.8974"
03/20/2024,"0.8881","0.8921","0.8859","0.8868"
